val;C0;C5;C10;C15;C20;C25;C30;C35;C40;C45;C50;C55;C60;C65;C70;C75;C80;C85;C90;C95;C100;C105;C110;C115;C120;C125;C130;C135;C140;C145;C150;C155;C160;C165;C170;C175;C180
20,00;350,07;350,56;346,35;344,57;336,77;330,13;318,76;308,21;294,27;278,88;257,90;234,32;199,39;155,37;111,51;99,07;92,54;86,77;81,23;77,31;73,66;72,46;62,01;56,85;52,01;47,06;43,98;42,36;41,87;41,09;40,54;38,84;37,00;35,15;34,68;34,14;34,39
21,00;359,41;360,70;357,18;355,22;348,50;342,35;330,34;319,59;304,49;290,71;269,59;248,08;214,51;174,02;116,63;99,67;91,53;86,19;80,96;76,19;72,29;70,88;59,00;54,03;49,53;45,19;42,33;41,18;40,16;39,63;37,94;35,72;34,46;33,60;33,14;32,64;32,70
22,00;365,58;369,49;366,40;365,14;358,72;352,41;340,89;330,37;314,60;300,49;281,27;258,89;227,33;189,97;123,75;100,88;91,11;86,33;80,28;75,40;71,24;69,41;56,08;51,47;46,72;43,09;41,06;39,61;38,32;37,71;35,53;33,84;33,16;32,25;28,96;27,82;31,53
23,00;370,79;376,56;373,60;372,74;367,75;362,25;351,87;340,06;325,39;311,58;291,69;267,72;239,13;203,69;133,45;104,32;91,14;85,65;79,42;74,34;69,84;68,31;54,61;49,55;44,76;41,28;39,78;37,84;36,48;35,54;33,48;32,34;28,91;25,18;24,14;22,31;24,03
24,00;375,35;381,94;379,66;379,47;376,20;370,48;360,88;350,66;336,44;321,69;300,53;276,88;248,34;216,37;147,47;109,74;91,49;85,99;79,05;73,74;69,42;67,13;52,56;47,25;42,81;39,75;38,06;36,19;35,05;33,43;31,78;27,38;23,82;21,35;20,18;19,23;20,51
25,00;377,34;385,70;384,94;384,04;381,69;377,96;369,53;358,88;346,32;330,18;309,99;286,84;258,04;227,98;164,95;116,67;92,70;85,99;78,78;72,84;67,88;65,07;50,28;45,27;41,04;38,55;36,48;34,84;33,46;31,75;27,47;22,27;20,41;18,68;18,05;17,24;17,56
26,00;376,89;386,52;387,30;387,40;386,18;382,18;376,04;368,46;356,09;339,69;317,88;295,14;267,32;238,10;182,13;125,96;94,16;85,68;78,07;71,67;66,39;61,06;47,94;43,28;39,49;36,78;34,90;33,34;32,15;28,02;22,57;19,80;18,24;17,17;17,84;18,23;16,91
27,00;376,68;385,55;387,64;387,10;388,07;385,76;381,85;375,30;365,12;348,86;326,04;303,56;276,60;248,77;196,70;137,88;95,37;85,57;77,54;71,00;65,11;56,86;45,96;41,33;38,00;35,16;33,52;32,25;30,27;22,38;19,81;17,54;17,51;18,03;18,24;17,91;18,24
28,00;374,62;383,97;385,65;386,27;388,22;388,24;385,46;381,13;371,83;356,94;333,98;312,49;285,28;258,22;210,70;151,51;97,11;85,66;78,07;70,21;63,71;53,84;43,60;39,18;36,57;33,70;32,23;30,97;25,63;20,06;17,94;16,68;17,81;17,93;17,80;17,74;17,12
29,00;371,76;381,83;382,44;383,42;387,58;388,80;388,34;384,85;376,84;363,52;342,42;320,58;294,83;267,39;221,82;166,06;100,77;86,07;78,14;69,43;62,73;51,41;41,37;37,82;35,06;32,49;31,03;28,90;21,63;18,00;16,67;17,77;18,18;18,35;18,14;18,41;17,64
30,00;369,93;381,04;380,13;381,35;384,43;387,98;389,66;388,31;381,42;369,12;350,98;329,86;303,14;276,16;231,90;179,72;105,69;85,84;77,54;68,56;61,18;49,71;39,48;36,28;33,60;31,18;29,83;23,60;19,45;16,45;16,61;17,84;18,14;18,49;18,17;18,02;17,80
31,00;369,99;379,76;379,29;378,98;383,45;385,91;389,74;389,04;384,56;374,99;358,17;338,42;311,82;284,28;242,98;191,42;111,35;85,91;76,52;67,28;59,50;47,53;37,17;34,97;32,17;29,82;28,17;20,74;17,53;15,51;17,24;18,18;18,36;18,19;18,09;18,26;17,35
32,00;371,30;380,54;379,33;378,31;382,42;383,78;388,27;388,85;385,78;380,33;366,06;346,15;320,35;293,33;252,01;204,54;118,22;85,72;75,48;65,85;58,33;45,15;36,28;34,11;30,93;28,74;24,86;18,67;16,00;15,78;17,80;17,95;18,14;18,08;17,94;17,77;17,78
33,00;374,48;381,78;380,67;379,92;381,77;383,47;386,53;388,50;387,19;383,15;372,44;354,27;327,74;301,69;260,77;214,92;126,28;85,99;73,90;65,25;57,05;43,63;35,76;33,20;29,95;27,32;21,48;16,80;14,99;17,09;17,46;17,74;18,14;17,93;17,60;17,46;17,21
34,00;378,21;386,00;384,86;382,51;381,35;383,39;385,40;387,71;388,70;385,52;378,08;361,04;334,80;309,62;269,30;223,16;136,86;86,86;72,70;64,80;55,49;41,88;35,18;32,49;28,98;25,65;19,15;15,41;14,85;16,86;17,30;17,76;17,91;17,96;17,39;17,09;16,84
35,00;381,96;389,94;388,12;386,68;383,82;383,42;384,81;387,67;389,00;387,77;382,69;367,81;343,99;317,45;276,50;231,56;147,27;87,95;71,65;63,64;53,65;40,33;34,51;31,28;27,96;23,14;17,12;14,43;15,23;16,83;17,62;17,62;17,91;17,47;16,85;16,68;16,32
36,00;388,95;394,70;393,00;390,32;385,60;385,60;384,85;386,59;387,23;387,52;385,35;374,27;351,72;323,73;282,88;239,59;157,91;90,65;70,82;61,95;51,30;39,02;33,90;30,45;27,02;20,17;15,70;13,72;15,64;16,79;17,34;17,62;17,84;17,29;16,79;16,53;15,95
37,00;398,57;401,28;397,20;396,00;390,89;386,76;385,54;387,41;385,60;387,33;387,04;379,41;359,28;329,37;290,00;245,30;168,92;94,33;70,26;61,19;49,60;37,73;33,71;29,75;25,93;18,26;14,57;13,18;15,94;16,83;17,35;17,46;17,47;17,17;16,59;16,19;15,94
38,00;412,69;412,09;406,38;402,13;396,07;389,84;386,42;388,50;385,76;386,32;388,32;381,41;365,93;335,34;295,88;252,71;179,84;100,45;69,82;61,09;48,16;37,24;32,91;28,80;24,47;16,45;13,89;13,34;15,94;16,68;17,58;17,21;17,12;16,89;16,51;16,15;15,72
39,00;424,15;427,45;418,47;413,32;403,01;394,50;389,03;389,59;385,61;385,34;387,90;383,80;370,56;340,50;301,04;258,65;190,30;106,58;69,06;60,49;47,36;36,86;32,46;27,94;21,94;15,26;13,41;14,17;16,13;16,72;17,28;17,02;16,75;16,61;16,21;15,54;15,22
40,00;426,81;436,36;431,06;425,24;413,53;402,08;393,12;390,89;386,74;383,96;386,95;385,13;374,76;344,56;307,53;265,20;199,95;112,59;68,45;59,66;46,34;37,28;32,31;26,73;19,88;14,61;12,85;14,96;16,01;16,53;17,20;16,61;16,26;16,20;15,76;15,17;14,55
41,00;425,99;436,52;436,62;431,53;423,47;412,74;399,90;395,59;388,50;384,40;386,51;384,61;376,78;350,62;312,31;272,16;209,16;119,43;68,04;59,05;46,14;37,61;31,70;25,90;18,53;13,98;12,71;15,41;16,20;16,23;16,98;15,86;15,51;15,75;15,65;15,29;14,26
42,00;425,55;435,55;435,11;433,60;431,78;423,75;408,69;399,01;389,89;385,61;384,51;383,71;377,11;354,76;316,83;279,30;218,07;128,75;68,31;59,89;48,85;38,64;31,47;25,11;17,44;13,38;12,67;15,86;15,90;15,81;16,37;15,18;14,93;15,60;16,15;16,45;14,62
43,00;425,99;434,35;434,28;433,59;432,64;430,69;419,29;404,08;392,38;386,92;383,42;383,55;377,31;357,84;322,62;285,69;225,91;140,28;69,62;63,83;60,75;43,46;31,47;24,78;16,91;12,81;12,97;15,96;15,68;14,96;15,58;14,73;14,57;16,08;16,97;16,57;16,09
44,00;424,22;433,45;432,26;432,72;433,39;434,52;428,45;411,59;394,02;387,78;382,52;380,26;376,75;360,33;329,31;290,09;233,67;150,65;74,21;75,81;76,21;52,19;31,54;23,02;16,33;12,66;13,35;16,08;15,11;13,94;15,02;14,50;14,61;16,50;17,05;17,02;16,02
45,00;422,62;431,24;430,42;432,57;433,69;435,39;432,27;418,39;398,17;391,23;381,73;376,01;374,54;361,76;334,31;296,22;240,15;158,98;89,18;92,07;85,55;57,16;31,32;21,73;15,51;12,66;13,72;15,86;14,20;13,20;14,63;14,36;15,08;16,20;16,93;16,65;16,68
46,00;421,13;428,90;430,30;432,08;433,79;435,80;433,44;424,01;406,82;392,37;381,33;372,10;372,33;363,23;338,90;299,76;246,31;177,27;108,06;103,17;89,14;58,45;30,98;20,82;14,61;12,81;14,36;15,41;13,29;12,43;14,24;14,59;15,18;15,89;15,58;14,54;14,92
47,00;420,33;428,27;429,65;431,67;432,41;436,22;435,96;427,49;415,13;394,51;381,40;371,54;370,19;363,40;342,20;299,09;247,54;193,70;117,86;110,30;90,24;56,91;30,19;19,26;14,35;12,99;14,32;14,66;12,78;11,69;13,90;14,68;14,73;14,09;13,05;12,09;12,27
48,00;424,30;430,48;430,87;431,74;432,75;437,23;437,24;430,91;415,66;396,41;382,12;370,56;366,80;362,08;344,06;295,48;257,61;211,61;127,94;112,33;90,40;57,15;29,47;18,42;13,87;13,22;14,13;13,98;12,39;11,23;13,53;14,08;13,41;11,72;11,10;10,59;10,29
49,00;429,96;436,52;432,89;431,63;432,36;439,07;439,03;432,00;416,07;398,91;380,42;368,64;365,77;357,08;341,95;292,58;261,95;229,42;143,61;112,96;92,77;57,94;29,44;17,48;13,52;13,22;13,82;13,46;12,02;10,83;13,22;12,92;11,38;10,21;10,25;10,11;9,41
50,00;441,64;444,70;439,43;435,27;434,32;439,61;440,35;432,95;418,76;401,68;380,33;368,46;363,60;350,01;334,85;297,66;268,60;247,04;154,56;115,52;96,36;56,30;29,97;17,33;13,56;13,34;13,60;13,16;11,72;10,37;12,31;11,64;9,98;9,77;10,02;9,81;9,19
51,00;457,89;458,36;447,27;440,04;437,11;439,49;440,47;433,88;420,39;403,23;383,94;366,88;358,75;342,11;326,87;311,47;282,75;251,47;163,31;119,15;96,87;54,45;32,32;16,89;13,71;13,57;13,60;12,83;11,57;9,72;10,77;10,29;9,53;9,36;9,41;8,42;8,68
52,00;474,58;475,14;460,84;453,03;441,72;440,57;439,86;434,22;422,09;404,28;385,70;366,13;352,41;333,25;318,05;324,40;292,53;253,61;174,61;124,34;101,37;56,71;35,97;16,59;13,89;13,83;13,90;12,53;11,53;9,35;9,34;9,42;9,08;8,37;7,95;6,91;7,50
53,00;482,82;488,74;477,87;468,62;453,73;445,86;440,89;434,60;422,30;407,13;386,56;368,50;345,89;317,53;336,42;330,40;301,12;261,73;186,06;131,63;108,50;63,24;45,09;17,30;14,17;14,12;14,67;12,14;11,41;8,49;8,51;8,60;8,00;7,07;6,53;5,78;6,32
54,00;488,24;495,62;487,99;480,67;470,46;459,54;445,34;435,56;420,41;407,14;388,25;367,87;336,68;324,67;351,51;345,34;309,32;271,23;199,08;140,91;124,58;75,43;50,58;17,99;14,54;14,42;15,30;11,47;10,67;7,66;7,99;7,62;6,95;5,90;5,51;5,14;5,28
55,00;506,48;508,55;501,07;493,84;481,67;475,01;456,87;439,74;420,96;407,59;392,25;357,47;326,24;344,59;350,35;356,09;319,38;285,50;213,04;157,40;158,02;96,20;50,02;17,64;15,22;14,96;15,64;10,79;9,35;7,25;7,25;6,61;5,93;5,19;4,45;3,82;4,63
56,00;520,37;528,14;521,85;518,94;500,00;493,15;476,16;450,76;424,32;408,41;394,43;353,65;321,76;355,83;364,63;367,42;325,89;300,00;233,07;183,51;176,95;93,08;44,10;17,80;16,85;15,47;15,69;9,81;8,41;6,80;6,38;5,93;5,26;3,94;3,31;3,04;3,09
57,00;516,41;531,43;533,49;534,99;527,11;516,13;498,98;473,83;432,52;411,43;393,03;347,72;334,72;376,38;387,51;376,00;334,17;312,22;259,36;218,42;177,39;89,77;40,98;18,88;19,10;16,07;14,15;8,95;7,81;6,23;5,47;4,77;3,53;3,05;2,89;2,67;2,72
58,00;515,66;531,59;534,72;538,18;536,04;534,50;522,70;498,07;450,35;421,49;390,34;338,74;349,40;409,31;401,44;382,49;350,51;325,37;302,13;244,45;173,88;89,38;40,85;20,73;20,62;16,15;12,65;8,37;6,72;5,63;4,95;3,68;3,01;2,66;2,54;2,41;2,42
59,00;512,29;529,37;534,91;541,00;539,23;541,24;538,69;526,27;484,86;438,77;382,70;349,10;370,01;429,09;409,52;400,88;370,00;342,63;323,20;259,06;181,80;97,33;42,40;23,63;21,75;16,45;11,48;7,25;5,74;5,15;3,52;3,01;2,67;2,41;2,29;2,14;2,13
60,00;505,22;521,00;529,95;536,96;540,16;544,38;542,51;542,60;520,70;454,03;379,79;367,43;397,28;439,63;420,66;417,19;375,28;382,31;348,24;264,40;188,24;103,74;36,52;23,02;21,32;15,10;10,25;6,12;5,27;4,47;3,08;2,60;2,37;2,18;2,10;1,95;1,90
61,00;497,65;514,53;522,50;532,82;538,21;544,54;543,19;549,18;544,75;475,51;383,21;381,04;425,91;452,63;440,33;417,39;385,37;419,38;355,96;275,06;211,67;122,55;35,70;22,07;19,66;13,68;8,97;5,59;5,11;3,64;2,74;2,37;2,14;1,95;1,88;1,77;1,76
62,00;488,40;506,98;516,42;525,45;533,78;539,17;540,60;551,78;558,80;493,57;394,56;402,41;450,31;463,88;462,71;438,16;428,14;429,49;366,25;295,12;209,69;126,90;43,40;22,49;19,83;12,44;8,18;5,22;4,22;3,19;2,48;2,18;1,95;1,80;1,72;1,65;1,62
63,00;478,40;494,74;509,87;515,57;530,09;534,43;535,87;553,82;564,21;492,36;419,43;426,57;466,66;475,79;483,77;477,44;470,03;426,48;385,73;306,43;209,73;122,61;40,92;22,79;18,21;11,30;6,99;4,89;3,80;2,93;2,22;1,95;1,80;1,65;1,58;1,54;1,47
64,00;464,21;482,78;497,70;508,43;522,45;528,08;531,49;552,53;555,35;487,10;458,57;459,95;476,41;481,41;487,88;524,99;490,58;444,71;400,14;324,98;193,18;107,94;36,67;19,59;14,59;8,45;6,26;4,36;3,41;2,67;1,99;1,80;1,65;1,51;1,50;1,39;1,32
65,00;444,59;466,29;484,52;497,28;518,21;521,23;527,26;543,48;533,58;487,05;491,69;499,70;482,52;478,01;499,70;574,46;511,62;451,99;417,59;315,89;185,93;103,09;29,71;17,30;12,18;7,28;5,68;3,80;3,22;2,44;1,84;1,65;1,50;1,43;1,39;1,25;1,26
66,00;416,14;441,11;465,21;483,27;509,75;514,80;521,18;532,24;508,31;476,09;519,15;530,45;488,12;481,25;538,13;606,64;528,85;480,10;415,18;303,83;175,74;84,71;21,33;15,68;10,74;6,68;4,95;3,50;3,04;2,25;1,69;1,46;1,43;1,32;1,28;1,13;1,17
67,00;350,14;392,02;428,05;455,31;495,74;504,56;517,39;514,01;487,94;471,92;535,66;544,04;499,50;500,24;575,07;617,00;549,64;499,63;390,69;290,00;144,94;53,97;16,47;13,92;9,65;6,42;4,66;3,31;2,83;2,06;1,62;1,39;1,35;1,20;1,16;1,02;1,03
68,00;265,26;311,46;358,66;390,18;462,45;480,85;502,95;492,28;460,96;469,52;539,34;552,28;498,00;521,91;616,70;627,89;552,08;504,96;391,70;289,79;97,36;32,64;14,07;12,44;8,54;5,89;4,48;2,92;2,44;1,84;1,46;1,25;1,25;1,11;1,05;0,93;0,95
69,00;203,51;233,22;275,73;307,19;387,46;426,96;473,57;459,85;435,75;465,13;535,12;538,36;481,22;549,89;638,16;613,57;584,58;464,24;382,34;225,77;52,04;23,29;12,13;10,45;7,66;6,00;4,17;2,62;2,06;1,62;1,32;1,13;1,13;1,05;0,95;0,86;0,81
70,00;176,62;193,63;218,19;244,61;301,02;346,23;415,06;415,26;421,11;458,30;526,76;509,64;479,35;576,74;635,45;624,92;589,17;419,39;321,85;155,41;31,42;17,04;10,68;8,38;6,57;5,17;3,72;2,44;1,84;1,43;1,20;1,02;1,02;0,98;0,86;0,72;0,73
71,00;163,98;178,71;197,52;213,42;239,92;261,98;328,04;360,42;400,55;446,77;507,16;478,06;494,69;584,23;611,19;615,09;577,23;390,02;254,65;97,83;22,29;13,02;10,00;7,63;5,71;4,47;3,27;2,32;1,70;1,35;1,10;0,95;0,90;0,86;0,74;0,65;0,66
72,00;147,58;163,53;180,59;191,11;215,43;215,41;235,16;294,01;378,43;430,74;473,83;453,49;504,10;549,64;562,03;599,05;526,49;302,23;164,36;52,19;20,07;11,69;8,86;7,36;4,96;4,13;3,03;2,11;1,58;1,23;1,05;0,87;0,83;0,79;0,68;0,56;0,57
73,00;140,82;152,43;167,65;173,63;191,57;187,16;181,39;235,10;344,54;403,53;429,17;428,89;501,26;478,54;533,75;520,50;456,60;221,60;91,61;34,68;19,95;11,41;9,09;6,35;4,84;3,80;2,89;1,95;1,47;1,13;0,95;0,84;0,75;0,72;0,63;0,49;0,51
74,00;130,17;141,92;158,67;161,29;176,14;167,89;147,68;176,98;299,30;372,07;392,81;422,33;487,01;416,31;521,45;447,32;333,11;154,85;53,74;28,51;18,35;11,40;8,75;5,71;4,57;3,57;2,69;1,77;1,39;1,01;0,83;0,75;0,67;0,65;0,56;0,46;0,43
