val;C0;C5;C10;C15;C20;C25;C30;C35;C40;C45;C50;C55;C60;C65;C70;C75;C80;C85;C90;C95;C100;C105;C110;C115;C120;C125;C130;C135;C140;C145;C150;C155;C160;C165;C170;C175;C180
10,00;203,70;186,61;183,41;178,16;168,26;159,03;146,32;131,94;120,12;111,64;104,77;100,01;96,42;93,70;91,98;89,37;87,38;83,99;80,99;78,90;78,48;76,11;75,96;75,06;74,63;73,65;66,74;62,94;61,33;59,03;58,34;57,35;55,74;55,84;54,69;54,50;55,36
11,00;225,95;214,16;211,88;207,68;197,70;188,14;175,59;156,53;141,40;125,25;112,05;104,33;98,89;95,65;92,90;90,69;88,71;84,75;81,54;79,67;79,73;77,22;76,74;75,13;74,76;65,54;63,02;61,11;59,33;58,27;56,15;54,69;52,99;52,20;51,34;50,94;51,65
12,00;245,19;237,28;234,29;230,38;221,65;213,68;200,93;185,40;165,92;145,68;124,76;111,67;102,11;97,26;94,09;91,75;89,55;85,95;82,45;80,50;80,02;77,71;76,81;75,20;70,86;64,42;62,32;58,87;57,38;55,97;53,76;51,06;49,59;48,96;48,41;48,06;48,76
13,00;263,18;254,81;252,86;249,20;241,22;233,23;222,55;207,91;191,55;169,41;141,94;121,38;106,59;99,35;95,06;92,45;90,60;87,34;83,08;81,06;79,87;78,06;76,38;75,27;67,54;63,09;60,65;58,52;55,82;52,83;50,76;48,48;46,88;46,43;45,81;45,74;46,15
14,00;276,08;272,47;269,43;266,71;258,62;250,11;242,17;228,13;212,55;192,30;164,04;136,19;113,89;102,77;96,33;93,36;92,14;88,10;83,71;80,57;79,31;77,15;75,54;73,73;64,46;60,99;58,78;56,69;53,66;50,24;48,40;46,31;45,01;44,32;44,22;44,07;44,23
15,00;291,89;286,41;284,29;281,67;274,18;266,52;257,17;244,17;230,34;213,53;187,58;155,00;124,33;107,45;98,21;95,38;93,25;88,60;83,43;79,87;77,77;75,83;74,13;65,85;62,07;58,81;56,46;53,76;51,01;47,74;46,51;44,71;43,62;43,34;43,17;42,95;42,72
16,00;303,29;300,08;298,27;295,18;287,24;280,05;271,25;260,13;246,23;230,40;206,34;175,55;138,26;114,70;100,88;96,42;93,33;88,87;82,80;78,76;76,43;74,22;73,08;63,32;59,33;56,72;54,41;50,68;48,64;45,99;44,91;43,67;42,93;42,64;42,48;42,25;42,31
17,00;317,71;313,24;311,17;308,24;299,17;293,58;283,94;272,52;260,54;244,90;223,14;195,07;155,44;122,60;103,67;97,68;93,62;88,67;81,89;78,06;75,87;73,39;70,20;60,74;57,80;54,84;51,62;48,43;46,83;45,02;44,02;43,25;42,37;41,94;41,78;41,62;41,07
18,00;329,11;326,28;323,86;319,48;311,47;305,38;297,33;285,23;273,19;257,71;237,08;212,22;175,35;134,11;106,69;98,52;92,92;88,10;80,99;77,36;75,32;72,62;67,67;59,20;56,27;52,38;48,68;46,19;45,16;43,98;43,03;42,13;41,03;40,95;39,92;39,79;40,39
19,00;340,92;338,47;335,80;332,75;323,64;317,86;307,96;296,30;284,82;269,75;250,61;225,86;192,10;150,17;112,30;99,00;91,81;86,23;79,03;76,04;73,69;71,92;63,84;57,32;54,66;50,08;46,66;44,73;43,98;43,07;42,05;40,94;39,20;38,14;37,26;36,37;37,23
20,00;350,12;349,13;346,37;344,14;335,09;330,82;320,70;306,76;296,00;281,23;260,14;237,89;207,17;165,25;120,15;99,70;90,26;84,19;78,13;74,78;72,44;70,02;61,18;55,51;52,21;48,04;44,77;43,33;42,51;41,04;40,08;38,43;36,76;35,40;34,80;34,05;34,62
21,00;357,27;358,66;355,52;353,77;345,74;340,86;330,66;317,71;306,63;290,89;270,58;249,08;220,09;181,86;129,11;101,66;89,49;83,78;78,13;74,65;71,60;68,43;58,26;53,06;49,61;46,22;43,52;41,79;40,39;39,16;38,12;35,92;34,60;33,57;32,57;31,80;32,41
22,00;364,27;366,72;364,55;362,68;355,33;351,04;340,77;328,16;315,09;301,04;281,08;259,57;232,22;195,40;140,39;104,68;90,13;85,52;79,38;74,01;70,34;66,96;55,46;50,19;47,02;43,91;41,92;40,18;38,10;36,72;35,74;33,96;32,71;29,90;27,60;24,45;29,12
23,00;369,90;374,28;372,55;371,55;364,23;360,27;350,38;339,40;325,37;311,20;290,12;270,13;243,30;206,94;154,11;109,35;91,17;86,09;79,18;72,90;68,02;63,18;52,94;47,40;44,50;41,88;40,72;38,14;35,99;34,84;33,36;31,88;27,67;23,04;21,69;20,39;21,71
24,00;373,61;379,28;376,40;376,19;370,97;368,41;360,43;350,48;333,14;319,67;299,44;278,87;253,20;218,38;168,59;118,22;93,70;87,06;78,76;71,85;66,20;58,09;50,08;44,62;42,25;39,87;38,47;36,18;34,53;33,24;29,90;24,40;22,15;19,96;18,82;17,79;18,82
25,00;372,92;378,51;379,95;380,90;376,02;374,08;367,45;358,56;342,18;328,62;308,75;287,27;261,58;230,32;183,97;127,93;95,46;88,04;78,13;70,66;63,82;54,67;47,21;42,03;39,80;38,18;36,59;34,15;33,21;31,15;26,09;21,27;19,45;17,98;17,37;16,68;16,48
26,00;371,69;378,02;382,07;382,74;379,79;379,53;375,57;365,68;350,64;336,73;317,15;295,18;270,55;241,63;199,77;140,64;97,70;86,22;76,88;68,37;61,71;50,76;44,62;39,52;38,06;36,01;34,41;32,90;31,80;25,22;21,38;19,11;17,85;17,21;17,05;17,59;17,17
27,00;371,56;377,24;379,92;381,27;380,76;381,08;379,86;371,60;360,27;345,14;325,39;304,21;280,50;253,22;213,13;153,41;101,49;85,38;75,48;66,48;59,12;47,61;42,18;37,49;36,59;33,85;32,60;31,50;28,34;21,53;19,15;17,58;17,67;18,20;17,51;16,82;16,76
28,00;370,18;376,33;378,77;379,86;381,34;379,84;381,75;373,98;368,13;353,39;333,91;313,86;291,01;264,54;225,31;164,73;105,29;84,75;74,03;65,02;57,72;45,52;39,73;35,61;34,84;32,16;30,86;29,75;23,94;19,31;17,90;17,02;17,59;17,49;17,17;16,68;15,93
29,00;368,53;377,10;377,57;377,89;380,36;381,50;381,87;377,31;373,29;361,53;342,71;322,18;301,44;273,47;234,60;175,05;108,94;83,91;73,33;64,05;56,74;43,64;37,48;34,00;33,02;30,48;29,18;26,80;20,31;17,70;17,34;17,86;17,81;17,92;17,60;17,79;17,04
30,00;363,44;374,86;375,53;375,51;379,18;381,50;382,57;379,21;375,61;366,86;351,12;332,67;311,11;281,71;242,85;184,13;114,55;83,50;72,84;63,12;55,70;41,75;35,60;32,96;31,41;28,89;27,64;21,34;18,23;16,51;17,01;17,51;17,95;18,20;17,79;17,31;17,31
31,00;363,44;371,90;372,05;372,39;376,33;380,32;381,05;379,27;375,35;372,33;359,35;342,82;320,07;289,89;249,99;195,51;122,84;85,04;72,21;61,88;54,86;40,14;33,93;31,90;29,93;27,41;25,54;19,11;16,76;15,76;17,01;18,28;18,22;17,91;17,53;17,59;16,89
32,00;365,51;371,90;371,90;372,46;373,92;377,20;378,50;378,75;378,45;375,62;367,89;352,41;327,58;295,61;257,96;204,52;133,77;86,63;71,10;60,90;53,45;38,76;32,88;30,86;28,67;26,29;22,08;17,15;15,30;15,83;17,85;17,86;18,16;18,20;17,58;16,68;16,76
33,00;370,32;375,47;374,47;375,76;373,41;376,86;377,68;378,15;379,60;378,14;374,69;361,64;334,45;302,86;264,32;215,06;144,98;89,30;70,26;60,90;51,77;37,78;32,53;29,95;27,48;24,75;18,95;15,40;14,40;16,80;17,77;17,65;17,94;17,57;16,89;16,18;15,93
34,00;374,44;380,58;377,80;378,91;374,31;376,22;377,20;377,68;379,94;380,12;379,54;367,31;341,81;309,85;270,12;224,78;154,87;91,95;69,70;61,04;49,88;36,73;31,98;29,25;26,21;23,22;16,79;14,06;14,12;16,59;17,43;17,94;17,95;17,50;16,75;15,97;15,66
35,00;376,35;385,64;382,39;383,98;376,75;377,35;375,92;377,47;378,39;381,09;382,97;373,41;346,98;315,30;281,09;234,74;164,61;95,57;69,36;60,20;47,64;35,25;31,15;28,07;25,23;19,37;14,89;13,16;14,63;16,38;17,64;17,58;18,02;17,43;16,47;15,50;15,12
36,00;382,82;389,07;384,69;386,56;380,56;378,15;378,06;378,73;379,74;383,82;385,46;374,86;353,29;321,51;289,35;241,87;173,79;99,55;69,36;59,57;45,67;33,51;30,16;27,02;24,03;17,13;13,57;12,74;15,05;16,51;17,71;17,85;17,73;17,21;16,25;15,21;14,69
37,00;390,09;395,02;391,06;391,61;382,85;380,08;379,74;378,32;380,08;383,81;383,72;377,60;361,00;328,42;295,58;247,80;183,87;105,82;69,85;59,50;44,28;31,70;29,18;25,90;22,78;15,59;12,73;12,31;14,96;16,30;17,71;17,78;17,75;17,44;16,61;15,77;14,85
38,00;404,23;403,35;398,58;397,46;387,61;383,29;380,19;378,95;379,46;383,54;382,04;380,20;366,04;337,36;300,27;253,73;193,46;112,24;69,49;59,71;42,94;30,24;27,93;24,71;21,03;13,85;12,10;12,54;15,11;16,17;17,64;18,07;17,96;18,07;16,89;15,70;15,11
39,00;416,61;417,65;411,53;404,91;392,02;387,54;383,77;381,37;381,46;380,89;381,78;379,71;370,94;343,44;304,19;260,72;202,14;119,63;69,15;58,81;42,31;29,54;26,38;23,45;18,42;12,66;11,83;13,44;15,39;16,30;17,51;18,49;18,29;18,21;16,95;15,28;14,69
40,00;418,52;426,14;421,40;412,34;399,42;394,51;387,15;383,94;382,31;379,35;381,17;379,43;373,74;345,04;307,27;265,88;209,50;126,13;69,01;57,27;41,40;29,18;25,54;22,48;16,46;12,24;11,47;13,79;15,11;15,88;17,58;18,69;17,79;17,07;16,11;15,34;14,69
41,00;418,25;426,42;425,02;417,01;410,91;402,61;390,54;386,58;383,37;378,66;379,86;379,09;375,08;348,53;312,21;272,45;218,26;133,94;68,88;55,61;40,22;28,98;24,98;21,51;14,99;11,89;11,34;14,14;15,32;15,53;17,30;18,42;16,73;16,53;16,47;15,41;14,56
42,00;416,88;425,65;424,62;423,13;419,26;413,22;398,60;390,69;383,17;379,36;377,85;378,40;374,86;351,19;319,27;277,00;224,84;142,87;69,42;54,82;38,68;28,20;24,91;20,18;13,80;11,47;11,27;14,56;15,11;15,33;16,80;17,37;15,76;15,67;16,92;16,12;15,52
43,00;415,63;424,75;423,71;423,60;422,30;420,64;408,91;394,67;385,43;381,37;376,09;374,06;371,82;354,82;321,86;282,37;231,90;151,51;70,69;54,28;37,84;28,07;24,97;18,92;13,24;11,26;11,27;15,12;14,76;14,49;15,52;16,61;15,33;16,73;17,53;16,12;15,52
44,00;417,01;424,19;424,70;427,73;423,67;425,26;419,15;399,26;388,43;381,72;376,21;371,69;367,75;357,06;326,98;288,16;238,41;162,54;73,88;53,57;37,49;28,41;24,77;17,53;12,61;11,33;11,55;15,05;14,21;13,52;14,82;16,05;15,50;16,30;18,11;17,02;16,08
45,00;415,92;424,94;424,96;428,29;426,16;428,11;424,34;405,82;390,84;384,22;377,07;366,79;365,66;357,33;332,02;291,92;245,08;172,38;78,13;53,64;37,13;29,18;24,48;16,76;12,48;11,68;11,83;14,28;13,35;12,48;14,32;15,90;16,82;16,59;17,75;15,91;15,92
46,00;415,09;425,15;427,53;431,37;427,34;428,94;426,31;412,82;398,24;386,68;375,63;363,07;363,25;357,06;336,42;296,74;249,42;180,81;84,05;54,27;37,68;29,67;23,78;15,78;12,25;12,11;12,11;13,71;12,51;11,51;13,77;16,34;17,12;16,30;16,34;13,95;14,02
47,00;415,92;426,15;428,98;434,11;429,31;431,77;428,69;417,08;405,18;387,31;374,44;360,42;359,38;358,73;339,23;300,52;254,88;188,83;90,81;54,97;38,74;30,31;23,14;15,15;12,60;12,58;12,04;13,08;11,67;10,39;12,80;15,97;17,06;14,62;13,87;12,05;12,09
48,00;421,14;430,27;432,92;437,00;433,30;431,83;430,05;418,96;408,37;388,21;372,57;361,19;360,27;357,90;341,47;303,23;261,68;199,50;99,03;56,22;40,70;31,35;22,94;15,22;13,44;13,08;11,68;12,18;10,97;9,68;11,97;14,85;15,57;12,23;11,55;10,30;10,03
49,00;432,95;438,25;436,78;440,18;438,40;436,02;432,09;419,79;410,44;392,28;371,74;362,30;356,62;352,80;344,02;307,42;267,20;210,39;106,47;58,19;43,58;32,19;22,45;15,30;13,44;13,29;11,46;11,20;10,35;9,47;11,48;13,32;12,69;10,61;10,38;9,74;9,34
50,00;450,95;453,36;446,27;445,02;442,09;437,22;434,06;420,69;411,21;392,79;373,40;361,68;354,54;349,87;341,83;312,72;272,73;219,74;117,34;61,67;46,17;33,94;22,32;15,78;13,37;13,29;11,33;10,50;9,86;9,20;10,63;11,50;10,89;9,84;10,24;9,53;9,34
51,00;463,58;467,47;461,51;459,46;448,91;442,11;435,32;423,27;412,96;393,82;376,80;364,32;351,87;351,12;343,15;322,22;283,12;227,20;128,34;67,67;48,83;36,44;23,44;17,39;13,65;13,15;11,54;9,80;9,45;8,77;9,45;10,04;10,33;9,55;9,81;8,41;8,93
52,00;475,94;482,88;474,70;471,37;461,84;447,43;437,00;423,76;415,55;396,41;382,05;363,68;353,21;350,71;348,57;328,65;287,86;238,30;142,20;74,16;50,38;39,79;27,80;18,22;14,14;13,15;11,96;9,17;9,09;8,16;8,25;9,28;10,19;8,70;8,12;6,87;7,55
53,00;485,01;493,61;489,98;484,76;472,70;460,00;442,03;425,44;415,69;399,42;383,00;365,91;354,13;352,67;350,39;332,14;295,85;250,64;155,64;82,31;56,48;52,01;35,16;18,65;14,62;13,64;12,60;8,89;8,68;7,17;7,62;8,37;8,94;7,38;6,57;5,54;6,05
54,00;500,26;506,54;501,64;500,91;485,02;473,78;453,98;430,59;415,26;402,42;387,09;369,33;359,25;354,26;356,15;340,31;308,25;263,83;171,93;95,78;75,87;79,78;43,46;18,79;15,13;14,48;13,42;8,55;7,83;6,27;6,87;7,39;7,47;6,11;5,53;4,83;5,08
55,00;505,75;516,52;516,95;519,75;504,02;491,03;469,03;447,11;416,81;404,38;392,24;376,60;363,43;357,89;364,21;345,62;316,93;276,88;189,83;119,99;116,87;101,43;54,85;19,77;16,34;15,67;14,27;7,99;6,91;5,79;6,65;6,27;6,14;5,13;4,76;4,06;4,81
56,00;508,90;520,23;526,05;529,60;518,90;510,09;493,02;467,03;427,37;409,76;397,27;381,14;366,40;361,32;371,45;354,06;330,02;297,58;213,99;168,12;169,24;94,81;55,83;18,93;18,23;17,49;15,01;7,56;6,16;5,43;5,95;5,56;5,32;4,20;3,42;3,01;3,03
57,00;513,02;523,33;527,86;536,63;525,14;521,56;517,41;489,86;450,36;419,49;401,17;389,25;370,71;365,50;377,10;369,42;336,94;316,70;267,90;239,69;207,81;93,07;54,71;20,11;20,49;18,67;14,72;6,87;5,45;5,15;5,26;4,45;3,76;3,16;3,01;2,73;2,76
58,00;513,30;526,69;529,99;539,52;529,56;529,34;530,21;513,10;476,09;435,42;408,79;396,94;377,70;368,64;389,14;376,33;346,47;326,20;315,74;274,50;211,02;92,92;52,37;21,51;22,53;19,85;14,15;6,44;5,03;4,74;4,76;3,62;3,07;2,82;2,65;2,38;2,47
59,00;508,91;523,01;529,41;540,15;529,38;529,72;537,83;527,76;508,40;468,35;424,50;406,05;386,84;381,07;395,86;381,00;365,17;345,37;342,82;297,24;213,15;102,70;59,88;25,07;22,39;21,46;13,61;6,31;4,76;4,59;3,21;2,64;2,59;2,46;2,31;2,11;2,05
60,00;502,73;514,25;525,63;532,37;528,79;529,65;537,80;539,09;535,34;503,11;446,38;419,54;394,69;393,56;401,27;390,92;382,32;381,66;357,52;298,98;219,67;133,29;56,05;27,10;21,85;20,56;10,62;5,81;4,76;4,11;2,59;2,30;2,31;2,24;2,10;1,89;1,79
61,00;495,85;508,77;519,87;523,21;521,92;524,11;534,62;547,36;554,50;538,24;472,04;436,87;407,45;403,26;410,73;397,89;391,19;421,21;386,97;289,01;244,14;159,68;60,99;26,74;21,40;17,97;8,45;5,26;4,68;3,41;2,31;2,10;2,10;2,04;1,89;1,68;1,65
62,00;481,57;498,05;510,15;516,94;516,98;516,64;533,45;549,37;570,10;566,43;507,06;455,03;427,41;412,28;413,62;379,43;421,10;439,97;399,30;322,29;268,59;160,73;46,17;27,37;19,31;14,54;8,14;4,97;4,53;3,00;2,04;1,88;1,88;1,82;1,68;1,55;1,50
63,00;468,93;480,07;497,66;506,67;511,77;510,57;525,98;551,81;582,91;589,16;545,34;479,76;443,63;431,00;430,40;421,70;454,93;449,39;420,19;353,96;286,22;158,09;36,12;26,94;17,94;11,33;7,39;4,83;3,85;2,78;1,88;1,74;1,75;1,68;1,54;1,40;1,37
64,00;443,67;471,46;485,32;493,87;501,56;504,68;522,12;549,94;588,23;602,57;578,68;515,63;459,07;437,63;457,13;483,15;505,19;472,27;460,59;386,54;263,32;145,51;36,44;21,78;16,75;9,02;5,87;4,42;3,35;2,44;1,68;1,53;1,60;1,62;1,48;1,27;1,23
65,00;424,03;447,36;470,73;483,20;494,16;495,58;514,22;550,17;588,91;609,39;607,54;550,94;473,87;427,95;449,56;568,11;543,88;508,26;458,63;358,14;220,61;104,23;38,49;18,70;15,50;7,41;5,10;3,92;3,01;2,08;1,54;1,40;1,47;1,48;1,33;1,20;1,10
66,00;381,16;411,91;442,42;466,13;485,27;488,51;504,85;546,26;587,29;610,94;629,51;585,22;480,13;417,64;499,31;616,28;583,85;518,95;439,62;360,09;196,60;70,78;39,35;16,14;12,90;6,43;4,20;3,50;2,94;1,81;1,41;1,25;1,33;1,34;1,20;1,12;1,10
67,00;311,26;351,25;394,70;425,20;469,11;477,73;504,13;539,58;579,32;608,51;644,61;613,77;497,91;423,41;581,34;645,95;613,98;568,54;423,95;336,31;169,49;38,17;34,20;14,87;10,73;5,24;3,49;3,36;2,86;1,67;1,27;1,18;1,25;1,20;1,18;0,98;0,97
68,00;233,77;273,40;318,35;350,18;419,67;447,56;495,08;528,35;571,01;600,05;656,12;629,02;476,15;456,13;644,10;666,17;609,69;558,97;396,16;303,44;137,21;27,57;22,67;13,26;9,26;4,26;3,21;2,94;2,38;1,47;1,11;1,05;1,11;1,11;1,05;0,84;0,83
69,00;191,60;217,68;250,13;273,25;334,94;384,71;467,08;506,89;560,37;591,90;651,69;605,17;437,63;515,83;680,68;639,17;599,14;504,22;372,98;266,62;79,92;24,01;17,79;11,10;8,48;3,55;3,01;2,51;1,88;1,33;1,11;0,90;1,05;1,05;0,90;0,77;0,70
70,00;166,06;185,71;206,28;224,46;262,22;298,60;407,23;463,27;539,58;579,96;638,28;549,21;424,82;573,44;657,22;635,70;599,53;453,15;321,52;176,63;50,48;22,07;15,03;9,64;7,56;3,29;2,66;2,25;1,68;1,18;0,97;0,91;0,97;0,98;0,91;0,70;0,69
71,00;157,69;170,11;187,73;202,05;220,16;236,25;318,23;408,71;507,31;559,48;602,82;476,15;464,73;613,28;594,87;616,70;570,65;389,82;248,96;98,99;33,59;15,99;12,24;9,14;6,58;3,29;2,31;2,04;1,47;1,18;0,98;0,77;0,84;0,92;0,77;0,56;0,56
72,00;139,28;160,43;175,21;187,92;196,34;199,34;234,09;328,66;461,54;530,75;542,91;426,21;504,35;561,09;464,07;607,95;498,98;305,61;169,01;62,65;31,98;15,77;12,31;8,59;5,46;3,15;2,30;1,88;1,40;1,04;0,98;0,76;0,77;0,84;0,70;0,56;0,54
73,00;133,09;144,77;161,65;174,59;189,50;179,48;183,09;253,51;398,32;484,98;470,60;421,41;504,49;422,88;453,27;551,76;432,43;223,94;120,05;50,93;29,71;16,12;10,63;8,17;5,04;3,08;2,17;1,68;1,33;0,97;0,91;0,77;0,70;0,71;0,63;0,41;0,41
74,00;124,03;134,90;153,24;163,26;175,72;164,61;157,44;208,71;321,95;394,89;413,79;425,21;457,74;274,78;459,14;482,17;339,47;155,00;74,24;38,79;26,34;14,17;9,16;7,47;4,70;3,21;2,10;1,61;1,18;0,91;0,70;0,63;0,63;0,63;0,57;0,41;0,41
75,00;115,39;124,60;142,45;155,90;164,15;148,99;141,37;152,42;232,14;317,38;349,88;412,63;327,57;189,56;393,05;402,02;249,62;100,18;51,89;32,44;21,30;10,54;9,44;5,93;3,86;3,01;1,95;1,48;1,11;0,77;0,56;0,63;0,56;0,56;0,50;0,43;0,27
76,00;102,62;113,34;131,35;138,58;147,80;139,20;129,04;126,97;174,05;236,70;310,65;348,46;165,09;162,67;292,75;289,57;175,56;64,32;42,20;26,72;16,04;9,91;16,36;4,26;3,23;2,72;1,68;1,34;0,90;0,63;0,56;0,49;0,56;0,49;0,41;0,28;0,28
77,00;88,46;97,19;113,28;126,01;134,22;121,65;117,34;113,03;122,91;165,18;259,85;225,44;53,31;113,29;217,65;179,80;119,00;45,55;33,43;18,35;9,59;7,47;9,07;3,42;2,81;2,45;1,54;1,20;0,84;0,63;0,41;0,49;0,43;0,43;0,43;0,28;0,27
78,00;85,30;92,14;105,72;117,25;121,41;111,57;103,30;97,82;93,03;109,30;218,88;121,04;39,54;74,24;150,71;101,44;77,25;32,72;19,50;15,28;5,46;6,36;4,19;2,58;2,38;2,44;1,40;1,05;0,77;0,56;0,41;0,43;0,43;0,43;0,28;0,28;0,27
79,00;69,65;80,34;98,39;109,06;115,50;96,05;92,96;84,21;72,10;78,90;148,51;55,45;32,00;46,37;82,40;60,32;50,16;20,16;11,42;11,93;3,65;3,76;2,79;2,10;2,11;2,30;1,25;0,91;0,63;0,56;0,41;0,34;0,41;0,36;0,28;0,28;0,27
80,00;70,75;73,72;88,40;99,34;102,97;83,65;82,82;65,54;57,03;57,44;89,46;28,00;27,39;33,73;48,29;37,69;33,74;12,97;8,00;6,90;2,81;2,45;2,02;1,68;1,89;2,24;1,05;0,84;0,63;0,41;0,43;0,34;0,28;0,28;0,28;0,21;0,14
81,00;62,36;68,60;88,11;94,92;87,71;69,91;72,07;52,63;38,94;36,88;40,23;22,53;22,92;25,29;30,64;25,42;22,80;8,80;5,85;4,32;2,24;1,81;1,54;1,47;1,68;1,95;0,98;0,70;0,56;0,41;0,36;0,28;0,28;0,28;0,28;0,14;0,14
82,00;51,24;59,33;80,54;86,79;79,64;63,05;57,98;42,38;29,16;22,92;17,01;24,59;19,13;19,70;22,23;18,22;12,34;6,70;5,64;3,56;1,82;1,47;1,25;1,25;1,40;1,61;0,98;0,70;0,56;0,41;0,34;0,28;0,28;0,21;0,14;0,14;0,14
83,00;44,09;52,27;69,76;70,20;66,16;52,30;46,04;28,25;21,87;16,87;15,13;25,28;16,40;14,17;16,08;12,77;9,26;5,58;5,22;2,65;1,54;1,25;1,05;1,18;1,27;1,40;0,90;0,63;0,49;0,41;0,28;0,27;0,27;0,21;0,14;0,14;0,14
84,00;21,16;35,01;51,15;48,38;38,75;36,27;36,85;19,98;18,75;12,74;15,22;20,43;14,73;11,59;11,33;10,89;8,97;4,32;5,08;2,10;1,27;1,04;1,05;1,04;1,12;1,04;0,77;0,56;0,41;0,34;0,28;0,28;0,21;0,14;0,14;0,14;0,14
85,00;17,99;18,99;29,47;21,68;17,28;16,99;18,72;15,37;11,58;11,19;12,60;17,50;14,87;10,05;8,46;7,88;8,35;3,42;3,48;1,67;1,12;1,04;0,91;0,98;0,98;0,91;0,63;0,56;0,41;0,34;0,28;0,28;0,21;0,14;0,14;0,14;0,14
86,00;11,95;13,67;17,54;15,18;13,14;11,23;11,51;11,08;9,39;9,16;11,47;14,48;13,86;9,01;7,07;7,19;5,95;2,92;2,51;1,33;0,91;0,91;0,91;0,91;0,84;0,77;0,56;0,49;0,41;0,41;0,28;0,28;0,28;0,28;0,14;0,14;0,14
87,00;9,20;10,73;12,53;11,32;9,96;9,55;8,91;10,10;8,41;8,12;10,83;13,65;13,02;8,38;6,50;5,45;4,56;2,44;1,95;1,18;0,91;0,91;0,91;0,84;0,77;0,70;0,56;0,56;0,41;0,41;0,36;0,28;0,28;0,28;0,21;0,14;0,14
88,00;8,38;9,12;10,25;8,71;7,99;6,84;8,35;9,61;8,41;7,84;10,94;13,15;12,81;8,03;6,23;4,96;3,72;2,02;1,67;1,18;0,91;0,91;0,84;0,84;0,84;0,70;0,56;0,63;0,41;0,41;0,41;0,41;0,28;0,28;0,28;0,28;0,14
89,00;7,97;8,62;9,47;7,80;6,58;6,29;7,64;8,71;9,03;7,00;9,40;11,34;11,97;7,75;6,14;4,33;3,01;1,81;1,53;1,11;0,91;0,91;0,84;0,84;0,84;0,70;0,63;0,70;0,49;0,41;0,41;0,41;0,36;0,28;0,28;0,28;0,27
