val;C0;C5;C10;C15;C20;C25;C30;C35;C40;C45;C50;C55;C60;C65;C70;C75;C80;C85;C90;C95;C100;C105;C110;C115;C120;C125;C130;C135;C140;C145;C150;C155;C160;C165;C170;C175;C180
0,00;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80;79,80
1,00;83,79;83,52;83,22;83,46;82,74;82,60;82,81;82,17;82,11;81,97;81,70;81,70;81,41;80,99;80,79;80,36;80,50;80,02;79,53;79,39;79,32;78,76;78,75;78,33;78,54;78,12;78,06;77,71;77,57;77,29;77,85;77,29;77,39;77,77;77,72;77,42;76,91
2,00;86,25;86,38;86,18;86,69;85,54;85,45;85,13;84,89;84,91;84,28;84,08;83,51;83,38;82,45;81,84;81,27;81,07;80,02;79,25;79,03;79,03;78,06;78,06;77,29;77,42;77,01;76,95;76,65;76,46;76,32;76,25;75,97;75,86;76,51;75,75;75,96;75,41
3,00;89,01;89,19;88,78;89,21;88,28;88,03;87,86;86,99;87,08;86,73;86,11;85,60;85,13;83,99;83,31;82,32;81,63;80,57;79,46;78,83;78,55;77,44;77,29;77,08;76,72;76,31;76,11;75,74;75,48;74,71;75,20;74,44;74,61;75,03;74,71;74,76;73,77
4,00;92,58;91,78;91,72;91,61;90,86;90,48;90,52;89,36;89,02;88,27;87,72;87,21;86,40;85,53;84,63;83,15;82,12;81,13;79,66;79,03;78,19;77,15;77,08;76,67;76,31;75,54;75,20;74,56;74,16;74,03;74,10;73,95;74,33;74,40;74,23;74,49;73,08
5,00;95,46;95,15;94,59;94,62;93,43;92,78;93,10;91,58;91,06;90,02;89,60;88,68;88,22;86,93;85,96;84,55;83,09;81,27;80,02;79,32;78,12;77,44;76,94;76,38;75,67;74,91;74,51;74,42;74,16;73,95;73,74;73,74;73,36;73,91;73,30;73,50;72,94
6,00;102,33;99,21;99,41;98,07;97,67;95,57;95,62;94,02;93,50;92,61;91,70;90,78;89,83;88,53;87,15;86,02;84,29;82,11;80,36;79,10;78,05;77,36;76,38;75,75;75,40;75,06;74,30;74,35;73,67;73,11;73,32;72,76;69,02;71,65;67,40;68,43;71,42
7,00;115,10;107,53;107,24;105,42;103,88;101,35;99,57;97,16;96,22;95,28;94,08;92,96;91,58;89,92;88,62;86,93;85,13;82,53;80,36;79,18;77,98;77,22;76,30;75,34;75,26;75,06;74,08;74,00;72,89;72,06;67,28;65,13;65,57;62,32;62,44;61,87;61,54
8,00;141,48;124,88;124,34;120,42;116,67;111,30;107,65;103,62;100,54;98,34;96,05;94,42;93,33;91,25;90,02;87,90;86,11;83,01;80,57;78,83;78,05;76,94;75,81;75,06;74,83;74,43;73,59;73,37;67,50;62,86;62,33;61,18;60,48;60,48;60,04;59,76;60,30
9,00;172,11;153,25;152,12;146,38;138,99;129,41;122,94;114,28;108,07;103,60;99,18;96,52;94,87;92,38;91,00;89,02;87,10;83,50;80,84;78,83;78,05;76,59;75,81;75,20;74,35;73,86;69,47;65,10;62,55;61,62;60,64;58,73;58,34;58,17;57,31;57,52;57,42
