Nome,Tipo,Coordinate
Jean Caffé,cafe,"(45.811335, 9.0860204)"
Ristoran e pizzrris griglieria lerill,restaurant,"(45.8174347, 9.0830326)"
La Darsena Ristorante Pizzeria,restaurant,"(45.816829, 9.0829897)"
Panino Buono Vista Lago,bar,"(45.8164008, 9.0829376)"
L'antica Riva,restaurant,"(45.8164028, 9.0830541)"
Fontana D'oro,restaurant,"(45.8164926, 9.083333)"
Centro - Lago,parking,"(45.8122045, 9.0768909)"
Caffé Alessandro Volta,cafe,"(45.8120029, 9.0800321)"
Farmacia Internazionale,pharmacy,"(45.8122078, 9.0804791)"
Farmacia Trimarco,pharmacy,"(45.8122622, 9.0813703)"
Il Cappuccino Bar Tabacchi,bar,"(45.8124695, 9.0837193)"
da Pietro Cafeteria Gelateria,cafe,"(45.8114674, 9.0827966)"
Caffé Maya,cafe,"(45.8115497, 9.0816379)"
Funicolare Ristorante Pizzeria,restaurant,"(45.8170235, 9.0828609)"
Asilo Nido Magnolia,kindergarten,"(45.812081, 9.0711107)"
I.C. Como Borgovico - Scuola dell'Infanzia Raschi,kindergarten,"(45.8121379, 9.0714593)"
Ristorante Pizzeria Alle Caverne,restaurant,"(45.8080642, 9.0888208)"
CheBanca!,bank,"(45.8022831, 9.086147)"
Gruppo Ponte Chiasso,police,"(45.830069, 9.0407701)"
L'asso di cuori,restaurant,"(45.8323407, 9.0359082)"
Espansione TV,studio,"(45.8033237, 9.0820968)"
Poste Italiane,post_office,"(45.8164672, 9.08372)"
Luisita,ice_cream,"(45.8076543, 9.0926327)"
Comando Provinciale Como,police,"(45.8123553, 9.0858453)"
Credito Valtellinese,bank,"(45.8329618, 9.06825)"
Nuova Farmacia Sagnino,pharmacy,"(45.8322225, 9.0445329)"
Trattoria Pizzeria Ristorante In Borgovico,restaurant,"(45.8112679, 9.0710413)"
Poste Italiane,post_office,"(45.8303569, 9.0382523)"
Farmacia Marelli,pharmacy,"(45.7986211, 9.0908947)"
Lanzetti,pharmacy,"(45.8050457, 9.0935981)"
San Martino,pharmacy,"(45.8059995, 9.0976951)"
Farmacia Cetti,pharmacy,"(45.8050347, 9.085833)"
Sala del Regno,place_of_worship,"(45.7965421, 9.0916186)"
Sala del Regno,place_of_worship,"(45.8073208, 9.0921744)"
Locanda Barbarossa,restaurant,"(45.8089565, 9.084292)"
Credito Valtellinese,atm,"(45.832121, 9.0452753)"
Mystic Burger,restaurant,"(45.8077039, 9.0829708)"
Como 9,post_office,"(45.8379179, 9.0423218)"
Caffè Ristorante Fontana,restaurant,"(45.8121629, 9.0803022)"
Hayashi Sushi Bar,restaurant,"(45.8305997, 9.0377178)"
Baita Monte Goj,restaurant,"(45.7869146, 9.0990043)"
Baita Pianvalle,restaurant,"(45.8003973, 9.068036)"
Parcheggio Villa Eros,parking,"(45.8190016, 9.0546399)"
Parcheggio della Parrocchia,parking,"(45.8246399, 9.0495183)"
Quarto Ponte,parking,"(45.805813, 9.079398)"
Parcheggio via IV Novembre,parking,"(45.7806681, 9.1001936)"
A.S.L. Como - Servizio Veterinario,veterinary,"(45.7790388, 9.0707571)"
Gama parkegio camions,parking,"(45.7862499, 9.0595955)"
Orsenigo,pharmacy,"(45.8088603, 9.0838139)"
Como 4,post_office,"(45.8096027, 9.0852143)"
UBI Banca Popolare di Bergamo,bank,"(45.8080826, 9.0852811)"
Chiesa di Sant'Eusebio,place_of_worship,"(45.8100718, 9.0790586)"
Banca Intesa Sanpaolo,bank,"(45.8056874, 9.0853347)"
Cavour,bicycle_rental,"(45.8126292, 9.0808156)"
Le Colonne,restaurant,"(45.8107149, 9.0803649)"
La vita è bella,restaurant,"(45.8159051, 9.0833331)"
Bar Pasticceria Monti,cafe,"(45.8135316, 9.0813189)"
Ristorante pizzeria al LungoLago,restaurant,"(45.81542, 9.0833493)"
Monti Gelateria,restaurant,"(45.8136087, 9.0812945)"
Bar Dante,bar,"(45.8086093, 9.0895275)"
Centro Lago,parking,"(45.8116362, 9.0759623)"
Bar La Ligera,bar,"(45.8119666, 9.0724194)"
Banca Popolare di Bergamo,bank,"(45.8103556, 9.0764973)"
Chiesa del Gesù,place_of_worship,"(45.8100444, 9.0820082)"
Bar Calipso,bar,"(45.8018193, 9.0903207)"
Galleria della Fortuna,gambling,"(45.8104427, 9.0873614)"
Mama Ida,bar,"(45.8022117, 9.0875493)"
Ristorante Cinese Pechino,restaurant,"(45.8022268, 9.0874191)"
