Nome,Tipo,Coordinate
Caffé de Corso,cafe,"(45.8050519, 9.0856037)"
Cafè Como,cafe,"(45.804914, 9.0908283)"
Ristorante Comi 107,restaurant,"(45.8115046, 9.0701478)"
Toast & Roll,restaurant,"(45.8040397, 9.0850849)"
La Vecchia Trattoria,restaurant,"(45.7980225, 9.0913397)"
Rovelli Ristorante & Bistrot,restaurant,"(45.8085797, 9.0845776)"
Hostaria al Camino,restaurant,"(45.8149527, 9.0669318)"
Run and Bike Café,cafe,"(45.8148971, 9.0670541)"
L'ideale,bar,"(45.8136466, 9.0686154)"
magrif,restaurant,"(45.8134453, 9.0687606)"
Bar Privativa,cafe,"(45.8121532, 9.0701439)"
Pizza Goal,fast_food,"(45.8126825, 9.071646)"
La Svolta Piadineria,fast_food,"(45.8116749, 9.0791837)"
All i Oli,restaurant,"(45.8114157, 9.0709424)"
L'Antica,restaurant,"(45.8033342, 9.0854353)"
Il Vicolino del Paninaio,restaurant,"(45.8105126, 9.0832127)"
Osteria dal Pain,restaurant,"(45.8149221, 9.0845605)"
WEWAKECOMO Wakeboard Wakesurf Boat Tour,boat_rental,"(45.815459, 9.0828934)"
Mosto & Carnazza,restaurant,"(45.8077649, 9.0774271)"
WEWAKECOMO Wakeboard and Boat Tour Lake Como,boat_rental,"(45.8154075, 9.082783)"
Studio ortopedico Morini,doctors,"(45.8045185, 9.0886383)"
Studio Ortopedico Morini,doctors,"(45.8050066, 9.0887244)"
Biblioteca di Scienze,library,"(45.8019175, 9.0953842)"
Ciàpa Fiaa,restaurant,"(45.8106468, 9.089014)"
Caffé & Bollicine,cafe,"(45.8089174, 9.0787501)"
Caffè Milani,cafe,"(45.8103907, 9.0829064)"
Vago Fabio,cafe,"(45.8011392, 9.0885063)"
Bar Funicolare,cafe,"(45.8176444, 9.0828537)"
Bar Kaos,bar,"(45.810293, 9.0772206)"
Martinez,restaurant,"(45.8120258, 9.0794438)"
Bellinzona Pizza Kebab,fast_food,"(45.8241877, 9.052189)"
Caffè 900,cafe,"(45.8255087, 9.0502771)"
Da Pietro,restaurant,"(45.8120396, 9.0824643)"
Synlab Centro Diagnostico,clinic,"(45.804805, 9.0800085)"
Piattaforma ecologica COMO,waste_transfer_station,"(45.7795825, 9.0711894)"
Venus,nightclub,"(45.802781, 9.0821605)"
La Coccinella,childcare,"(45.823127, 9.05526)"
La Piadineria,restaurant,"(45.811197, 9.0787932)"
Fontanello,drinking_water,"(45.8049548, 9.0987842)"
Pizzeria Kebab,restaurant,"(45.7899961, 9.0836415)"
E bike,bicycle_rental,"(45.8089645, 9.0877298)"
Bistrot,cafe,"(45.8088472, 9.0878344)"
Sapori del Sud,restaurant,"(45.8097927, 9.0870385)"
Nenne' Trattoria,restaurant,"(45.8171945, 9.0832619)"
Guilietta al Lago,restaurant,"(45.8235169, 9.0773753)"
Beretta il Fornaio,cafe,"(45.7805598, 9.0781344)"
Pomodoro rosso,restaurant,"(45.8098331, 9.0821096)"
Rive,restaurant,"(45.8093198, 9.0813702)"
Vertigo,ice_cream,"(45.8112233, 9.0841805)"
Basilica di San Fedele,place_of_worship,"(45.809693574648605, 9.084585549641016)"
Joy,restaurant,"(45.82056359517265, 9.066706237220252)"
Parcheggio Via Castelnuovo,parking,"(45.80201185967105, 9.09285208040394)"
ITIS Magistri Cumacini,college,"(45.78691890565366, 9.055665878398392)"
Istituto Paritario Orsoline San Carlo,school,"(45.82448784434048, 9.051177992444453)"
Chiesa di San Zenone,place_of_worship,"(45.824528153047524, 9.049686595682482)"
Istituto Paritario Liceo Artistico Michelangelo,school,"(45.82755297840424, 9.048730234184477)"
Monte Olimpino,post_office,"(45.82536056507748, 9.049967657838158)"
Polizia,police,"(45.80411105, 9.0833777)"
Carige,bank,"(45.812371244018266, 9.082544431386129)"
Arena,parking,"(45.81094390078539, 9.085367006945638)"
Teatro Sociale,theatre,"(45.81153135627813, 9.084902664113915)"
Istituto Dante Alighieri,school,"(45.80658512250661, 9.080442276240655)"
Parcheggio Birrificio,parking,"(45.78916495154996, 9.082534605956452)"
Il Birrificio di Como,restaurant,"(45.78948685412882, 9.082710729571607)"
Istituto Paritario Orsoline San Carlo,school,"(45.810148926592255, 9.077990697731222)"
Liceo Statale Teresa Ciceri,school,"(45.80739542424669, 9.08617663224293)"
Liceo Classico e Scientifico Alessandro Volta,school,"(45.80707165555053, 9.085521372770563)"
Deutsche Bank,bank,"(45.81156023344603, 9.076376970318998)"
Credito Valtellinese,bank,"(45.81141705000001, 9.0759084)"
Università dell' Insubria,university,"(45.812048156049265, 9.076056046872537)"
Chiesa di San Giorgio,place_of_worship,"(45.81382036207796, 9.069413828918735)"
Autosilo Valmulini,parking,"(45.791353408138015, 9.092323448332731)"
Ilgap,cafe,"(45.805631557497875, 9.089421872225426)"
Banca Popolare di Sondrio,bank,"(45.80510057317283, 9.087687610730969)"
Biblioteca comunale,library,"(45.808271795591374, 9.081521983617883)"
Comando Provinciale Carabinieri,police,"(45.79871668992561, 9.094603139135108)"
Politecnico di Milano - Polo Territoriale di Como,university,"(45.80119787660066, 9.09273017124905)"
Chiesa di San Bartolomeo,place_of_worship,"(45.802570278767504, 9.086889746048303)"
Santa Cecilia,place_of_worship,"(45.80718690632757, 9.085144028716272)"
Chiesa di Sant'Agostino,place_of_worship,"(45.81582631894774, 9.085017711883264)"
Vecchio Ospedale Sant'Anna,hospital,"(45.79130594420902, 9.089377537858907)"
Bar e Fotocopisteria Motorizzazione,bar,"(45.779116800000004, 9.07897035)"
Stazione di Grandate,parking,"(45.782057377873784, 9.05485781163206)"
Deposito Autobus,parking,"(45.781852474155606, 9.052881192832096)"
Chiesa di Santa Maria Regina,place_of_worship,"(45.78781606714144, 9.092012352733738)"
Asilo Sant'Elia,kindergarten,"(45.798555796196425, 9.088640544364296)"
Spazio culturale Antonio Ratti,exhibition_centre,"(45.806807649999996, 9.087118999999998)"
Mercato Comunale,marketplace,"(45.8067440769666, 9.087943805274232)"
Santi Apostoli Pietro e Paolo,place_of_worship,"(45.802131498910406, 9.100714871074661)"
Cinema Gloria,cinema,"(45.79143744524506, 9.077507073645256)"
RSA Le Camelie,social_facility,"(45.82239184355355, 9.06515543419373)"
Espansione TV,studio,"(45.80375460837332, 9.080766346534695)"
Cube Como,bar,"(45.81295498247337, 9.074556529680468)"
IP,fuel,"(45.80899084885552, 9.075779533010834)"
Chiesa di San Giacomo,place_of_worship,"(45.81229586891674, 9.083393277719725)"
Casa Alloggio La sorgente,nursing_home,"(45.80591107306668, 9.080500640550046)"
Chiesa di San Donnino,place_of_worship,"(45.807646900543816, 9.083697636178156)"
Yama-Sushi,restaurant,"(45.810512700000004, 9.0871926)"
Chiesa di San Giuliano,place_of_worship,"(45.81257555158062, 9.089331055619938)"
Chiesa del Santo Spirito,place_of_worship,"(45.80840201770168, 9.099430698148167)"
Santuario del Sacro Cuore,place_of_worship,"(45.80921817713241, 9.091579539683378)"
Chiesa parrocchiale della Beata Vergine Immacolata,place_of_worship,"(45.831268726218866, 9.037670402406867)"
Hotel Ristorante Valtellina,restaurant,"(45.83042575000001, 9.038039)"
Chiesa di San Francesco in Ravanera,place_of_worship,"(45.801245756393214, 9.132329173263516)"
ARCA,social_facility,"(45.80326639999999, 9.102093700000001)"
Hospice,hospital,"(45.80233481991932, 9.102300063010762)"
Chiesa di Sant'Antonino,place_of_worship,"(45.78200984432139, 9.097996552722597)"
Bar Accadamia - Sala Biliardi,bar,"(45.77965280000001, 9.09233035)"
Chiesa di Santa Brigida,place_of_worship,"(45.7912383597016, 9.086322079756945)"
Parcheggio via Castelnuovo,parking,"(45.80416767772755, 9.098094812258914)"
Parcheggio Ippocastano,parking,"(45.802689453114084, 9.091703276095783)"
CineTeatro Nuovo,theatre,"(45.789953951206684, 9.075580779483404)"
Chiesa di San Martino,place_of_worship,"(45.78973055534942, 9.076004821381831)"
"Trattoria Bar ""Fortino""",restaurant,"(45.83282655, 9.06790955)"
Cristo Re,place_of_worship,"(45.833222650940016, 9.066729293911026)"
Poste di Prestino,post_office,"(45.8011406, 9.060739349999999)"
Chiesa dei Santi Felice e Francesco d'Assisi,place_of_worship,"(45.798850055763296, 9.059755783105821)"
Cafearium,cafe,"(45.80300475431857, 9.080182413138147)"
Autosilo Valduce,parking,"(45.81063789271493, 9.086770255151562)"
Duomo di Como,place_of_worship,"(45.81178183320625, 9.083683148070666)"
Parcheggio FS,parking,"(45.80706397733585, 9.075792999241228)"
Dogana commerciale di Brogeda,customs,"(45.83544740200545, 9.03683012997925)"
Parcheggio dipedenti Ospedale Valduce,parking,"(45.80980484083382, 9.088743237665488)"
"Como, Piazzale Camerlata",bus_station,"(45.790569413012804, 9.084903626558397)"
Chiesetta di Bignanico,place_of_worship,"(45.82265719264747, 9.065225919859113)"
"Hospice: ""Villa Celesia""",social_facility,"(45.82302828919627, 9.066068597464529)"
Chiesetta di San Nicola,place_of_worship,"(45.81177374243385, 9.119594750720395)"
Ex Convento Canossiane,place_of_worship,"(45.82161218831501, 9.064685948804826)"
Crotto Civiglio,restaurant,"(45.813311299999995, 9.11279255)"
Chiesa dei Santi Simone e Giuda,place_of_worship,"(45.797615840419304, 9.109424106199198)"
Punto Grill,restaurant,"(45.84116210845228, 9.038387930542902)"
Chiesa di Sant'Agata,place_of_worship,"(45.8071629036462, 9.095078067419353)"
Chiesa Parrocchiale di Sant'Antonio di Padova,place_of_worship,"(45.77946287283788, 9.081550825583049)"
Chiesa di San Cassiano,place_of_worship,"(45.7933555408566, 9.064085242346804)"
Santuario di Santa Rita,place_of_worship,"(45.82512489557958, 9.111053265413412)"
Caffè Maya,bar,"(45.81449755, 9.0748525)"
Farmacia della salute,pharmacy,"(45.83287238212375, 9.066274370111042)"
Antico Mognano,restaurant,"(45.83377740040797, 9.049538270309723)"
Scuola Primaria Como Sagnino,school,"(45.834547040036696, 9.049466458184874)"
Scuola dell'infanzia Mauri,kindergarten,"(45.835186813241876, 9.067215630971555)"
Chiesa di San Giuseppe,place_of_worship,"(45.79892905892451, 9.095339876065749)"
Basilica di Sant'Abbondio,place_of_worship,"(45.802435093106865, 9.08054988527881)"
Basilica di San Carpoforo,place_of_worship,"(45.794028150136214, 9.090376955677943)"
"Centro Pastorale ""Cardinal Ferrari""",social_facility,"(45.80716383759555, 9.08855113681498)"
Novosilo Via Sirtori,parking,"(45.806324359963185, 9.089427669637823)"
Ospedale Valduce,hospital,"(45.810545721901086, 9.088169481154004)"
Chiesa di San Salvatore,place_of_worship,"(45.816793593608864, 9.065670471351684)"
Ceccato,cafe,"(45.8143132060281, 9.08250671650312)"
Astra,cinema,"(45.80234217263691, 9.086949991388234)"
Santuario del Santissimo Crocifisso,place_of_worship,"(45.80628174363784, 9.080802017684588)"
Associazione Scuola Montessori,school,"(45.82171634358948, 9.062863130623333)"
Associazione Scuola Montessori,school,"(45.83498198197057, 9.064784972406521)"
Chiesa dei Santi Filippo e Giacomo,place_of_worship,"(45.83650515196521, 9.042304093697796)"
Asilo Nido Panda Sagnino,kindergarten,"(45.83478376588423, 9.043532999165572)"
Scuola secondaria di primo grado Don Lorenzo Milani,school,"(45.83675210869996, 9.04077251384886)"
Lario,car_wash,"(45.835735779887905, 9.067920399701709)"
Chiesa di Sant'Orsola,place_of_worship,"(45.80786457119081, 9.088824370555715)"
Monastero della Visitazione,place_of_worship,"(45.805621233445976, 9.096372370764412)"
Baita Bondella,restaurant,"(45.83528836334215, 9.127521811834919)"
Università degli Studi dell'Insubria - Dipartimento di Chimica,university,"(45.80197728268718, 9.094666455511264)"
Chiesa di San Giuseppe,place_of_worship,"(45.800218270146395, 9.096523838959541)"
Comando Provinciale VV.F. di Como,fire_station,"(45.80097676059592, 9.096027743103484)"
Carabinieri,police,"(45.780868649999995, 9.100697599999997)"
Collegio Santa Chiara,school,"(45.78191028091696, 9.09316363640732)"
Istituto Comprensivo Como Lago,school,"(45.81385499421258, 9.088507376403784)"
"Scuola Primaria E. Bossi, Breccia",school,"(45.793578697473926, 9.059545050025282)"
Asilo A. Volta,kindergarten,"(45.79345337729553, 9.064904499541413)"
"Scuola Primaria ""Nazario Sauro""",school,"(45.80976148357007, 9.08632019273396)"
Università degli Studi dell'Insubria - Valleggio Anello,university,"(45.801656109545355, 9.095353414974202)"
Università degli Studi dell'Insubria,university,"(45.8019932462944, 9.095388364133322)"
Università degli Studi dell'Insubria - Uffici,university,"(45.80240216067973, 9.095044153252717)"
Università degli Studi dell'Insubria - Valleggio Piazza,university,"(45.802423575836826, 9.095666833018972)"
"Politecnico di Milano, Università dell'Insubria - Como",university,"(45.802241747114735, 9.095126592817333)"
Chiesa di Santa Cecilia,place_of_worship,"(45.8041114867095, 9.116494690477507)"
Autosilo Via Auguadri,parking,"(45.805816657777505, 9.087390089186458)"
Baita Monte Croce,restaurant,"(45.80360163028015, 9.0677338995831)"
ISIS Paolo Carcano,school,"(45.80333437306014, 9.095722683893158)"
Castelnuovo - A,university,"(45.802691107835784, 9.094807005279124)"
Chiesa di San Pietro,place_of_worship,"(45.77504524407846, 9.103609801395411)"
Al Molo,cafe,"(45.81500472185013, 9.083025220830748)"
Crotto del Sergente,restaurant,"(45.80043193537414, 9.109963086529444)"
Chiesa di San Rocco,place_of_worship,"(45.797796450811475, 9.086976020020096)"
Biblioteca comunale Paolo Borsellino,library,"(45.80841303036734, 9.081212566617817)"
Lario's Bistrot,bar,"(45.787230244958586, 9.061041522047887)"
Chiesa parrocchiale di San Paolo Apostolo,place_of_worship,"(45.83629226829305, 9.044527233409175)"
Istituto Comprensivo Prestino Breccia,school,"(45.79517015409288, 9.060780175891423)"
Centro di Formazione Professionale ENAIP Como,school,"(45.806899586276714, 9.091841412646003)"
Imat Felco s.p.a.,parking,"(45.77701916160667, 9.072445784051087)"
Scuola Secondaria di Primo Grado Massina,school,"(45.825100686182324, 9.053521437313245)"
LKW/Truck/Bus Parking,parking,"(45.8412014385169, 9.038975063302741)"
Burgell,lavoir,"(45.82271233448318, 9.064664933412356)"
San Pietro ad Vincula,place_of_worship,"(45.82165643804709, 9.064613982766414)"
Chiesetta dell'Immacolata,place_of_worship,"(45.82679234723273, 9.059548563307603)"
Wiener Haus,restaurant,"(45.78362236085256, 9.069398777211772)"
Cappelletta,place_of_worship,"(45.81989593174454, 9.113436803948284)"
Parcheggio Crotto Civiglio,parking,"(45.81352407943904, 9.112670158847097)"
Madonnetta,place_of_worship,"(45.81926525000001, 9.081716300000002)"
Chiesa della Beata Vergine di Loreto,place_of_worship,"(45.809947206540016, 9.07670359995025)"
La Breva 29,bar,"(45.79556637617373, 9.108187484973243)"
Istituto Comprensivo Como Lora Lipomo - Scuola dell'infanzia,kindergarten,"(45.79740121606013, 9.107766157679839)"
Sala Polifunzionale Oratorio Lora,theatre,"(45.79797609820298, 9.108879137985996)"
Parcheggio Crotto del Lupo,parking,"(45.826546233434925, 9.057489551857069)"
Trattoria alla Costa,restaurant,"(45.77565362213772, 9.099716908751123)"
Banca d'Italia,bank,"(45.811794705735416, 9.080818972485243)"
Pontificio Collegio Gallio,school,"(45.80967760873634, 9.076129315268163)"
Casa circondariale di Como,prison,"(45.77011399518478, 9.082051131799295)"
Università dell'Insubria - Sant'Abbondio,university,"(45.80278075118668, 9.080392897171931)"
IPSSCTS Gaetano Pessina,school,"(45.74711892844694, 9.011915638671452)"
Istituto Comprensivo Como Borgovico,school,"(45.8259646343772, 9.06635737467611)"
Palazzo di Giustizia,courthouse,"(45.80646971634849, 9.086761605807602)"
Istituto Comprensivo Como Albate,school,"(45.78048151470934, 9.095915713758473)"
Istituto Comprensivo Como Centro Città,school,"(45.805815766874794, 9.089651216492456)"
Istituto Comprensivo Como Rebbio,school,"(45.78878096445123, 9.074583860096544)"
Istituto Comprensivo Como Borghi - Severino Gobbi,school,"(45.795483016544125, 9.093720776208198)"
Istituto Comprensivo Como Lora Lipomo,school,"(45.795965319087465, 9.105444161281318)"
